Forrás_lap	Forrás_sor	Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
IGNIS	2	Hamvaskezű Újonc	Entitás	Ignis	Hamvaskezű	Ember	Harcos	1	1	2	1	[HORIZONT] Gyorsaság (Celerity)	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	must_be_on_horizont	Amíg a Horizonton van, rendelkezik Gyorsaság kulcsszóval.	passziv_vagy_egyszeru	Passzív, natív keywordös lap.
IGNIS	3	Lángoló Öklű Bajnok	Entitás	Ignis	Hamvaskezű	Ember	Harcos	2	3	4	2	[HORIZONT] Hasítás (Sundering). Valahányszor ez az Entitás sikeres harci sebzést okoz egy ellenséges Entitásnak, visszatölt magának 1 HP-t.	[HORIZONT] sundering; on combat damage dealt to enemy entity: heal self 1	horizont	sundering	on_combat_damage_dealt	self	heal	instant	deals_combat_damage_to_enemy_entity	Hasítással rendelkezik, és amikor harci sebzést okoz egy ellenséges entitásnak, 1 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Egyszerű combat-triggeres heal natív keyword mellett.
IGNIS	4	Lángoló Pörölyös	Entitás	Ignis	Hamvaskezű	Ember	Harcos	2	3	3	3	[HORIZONT] Hasítás (Sundering). Ha egy már eleve Kimerült (elforgatott) ellenfelet támad meg, a támadás idejére kap +2 ATK-t.	[HORIZONT] sundering; if attacks exhausted enemy: self gains +2 ATK during combat	horizont	sundering	on_attack_declared	self	atk_mod	during_combat	target_enemy_is_exhausted	Hasítással rendelkezik, és ha kimerült ellenfelet támad, +2 ATK-t kap a harc idejére.	elso_koros_gepi_ertelmezes	Combat-feltételes buff; célpontállapot-ellenőrzést igényel.
IGNIS	5	Parázsfarkas	Entitás	Ignis	Hamvaskezű	Bestia	Alap	3	2	3	3	[DOMÍNIUM] Riadó (Clarion): Ha van legalább egy másik Hamvaskezű vagy Bestia Entitásod a Horizonton, a Parázsfarkas kap +1 ATK-t a mérkőzés hátralévő részére.	[DOMINIUM] clarion: if another allied Hamvaskezű or Beast is on own Horizont, self gains +1 ATK until match end	dominium	clarion	on_summon	self	atk_mod	until_match_end	another_allied_hamvaskezu_or_beast_on_horizont	Megidézéskor, ha van másik saját Hamvaskezű vagy Bestia entitásod a Horizonton, a Parázsfarkas +1 ATK-t kap a mérkőzés végéig.	elso_koros_gepi_ertelmezes	Clarionhoz jól illeszkedő feltételes permanens önbuff.
IGNIS	6	Ignis Csonttörő	Entitás	Ignis	Hamvaskezű	Ember	Harcos	3	4	4	4	[DOMÍNIUM] Riadó (Clarion): Célozz meg egy Aktív ellenséges Entitást a Horizonton, és forgasd Kimerült állapotba.	[DOMINIUM] clarion: exhaust target active enemy Horizont entity	dominium	clarion	on_summon	enemy_horizont_entity	exhaust	instant	target_enemy_active_on_horizont	Megidézéskor egy aktív ellenséges Horizont-entitást kimerít.	elso_koros_gepi_ertelmezes	Clarion handlerhez jól köthető egyszerű exhaust.
IGNIS	7	Vakmerő Hamuszóró	Entitás	Ignis	Hamvaskezű	Ember	Zsoldos	3	1	4	1	[HORIZONT] Amikor ez az Entitás támadást indít, a harci fázis kezdetén azonnal elszenved 1 sebzést. Valahányszor sikeres harci sebzést okoz egy ellenségnek, visszatölt magának 1 HP-t.	[HORIZONT] on attack declared: self takes 1 damage; on combat damage dealt: heal self 1	horizont	blank	on_attack_declared, on_combat_damage_dealt	self	damage, heal	instant	attack_started_or_combat_damage_dealt	Amikor támadást indít, 1 sebzést kap, és amikor harci sebzést okoz, 1 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Két külön triggerre bontható.
IGNIS	8	Vörösréz Pajzsos	Entitás	Ignis	Hamvaskezű	Ember	Lovag	3	3	2	5	[HORIZONT] Oltalom (Aegis). Ha sikeresen blokkol egy támadást és túléli, az ellenséges támadó kap 1 sebzést a forró pajzstól.	[HORIZONT] aegis; on successful block and survive: deal 1 damage to attacker	horizont	aegis	on_block_survived	enemy_entity	damage	instant	self_blocks_and_survives	Oltalommal rendelkezik, és ha túlél egy sikeres blokkolást, 1 sebzést okoz a támadónak.	passziv_vagy_egyszeru	Passzív keyword + egyszerű blokk-triggeres sebzés.
IGNIS	9	Lángsörényű Oroszlán	Entitás	Ignis	Hamvaskezű	Bestia	Alap	4	3	4	4	[DOMÍNIUM] Amíg egy Hamvaskezű Entitással azonos Áramlatban (előtte vagy mögötte) tartózkodik, mindketten kapnak +1 ATK-t.	while on board, if this entity shares a lane with a Hamvaskezű entity, both gain +1 ATK	dominium	blank	static	self, other_own_entity	atk_mod	static_while_on_board	must_share_lane_with_allied_hamvaskezu_entity	Ha egy saját Hamvaskezű entitással azonos Áramlatban van, mindketten +1 ATK-t kapnak.	passziv_vagy_egyszeru	Folyamatos, lane-alapú szinergia.
IGNIS	10	Hamvaskezű Seregvezér	Entitás	Ignis	Hamvaskezű	Ember	Parancsnok	4	4	5	4	"[HORIZONT] Oltalom (Aegis). A mögötte lévő Zenit mezőn tartózkodó Entitások ""Harmonizálás"" képessége kétszeres szorzóval adódik hozzá a Seregvezér erejéhez."	[HORIZONT] aegis; harmonize bonus from entity behind this card is doubled	horizont, zenit	aegis	static	self	atk_mod	static_while_on_board	harmonize_bonus_from_zenit_entity_is_doubled	Oltalommal rendelkezik, és a mögötte lévő Zenit-entitás Harmonizálás bónusza kétszeresen adódik hozzá.	osszetett_egyedi	Statikus, zónafüggő harmonize-szinergia; külön számítási szabályt igényel.
IGNIS	11	Hamvaskezű Kivégző	Entitás	Ignis	Hamvaskezű	Ember	Orgyilkos	4	5	5	3	[HORIZONT] Gyorsaság (Celerity). Ha ez az Entitás egy olyan ellenfelet támad, aminek a maximális HP-ja kevesebb, mint az övé, a támadás idejére kap +2 ATK-t.	[HORIZONT] celerity; if attacks enemy with lower max HP than self: self gains +2 ATK during combat	horizont	celerity	on_attack_declared	self	atk_mod	during_combat	target_max_hp_lower_than_self	Gyorsasággal rendelkezik, és ha kisebb max HP-jú ellenfelet támad, +2 ATK-t kap a harc idejére.	elso_koros_gepi_ertelmezes	Passzív keyword + feltételes combat buff.
