card_name,realm,clan,raw_ability,detected_keywords,engine_support_status,evidence_files,notes
Hamvaskezű Újonc,Ignis,Hamvaskezű,[HORIZONT] Gyorsaság (Celerity),celerity,supported,engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,celerity=supported
Vörösréz Pajzsos,Ignis,Hamvaskezű,"[HORIZONT] Oltalom (Aegis). Ha sikeresen blokkol egy támadást és túléli, az ellenséges támadó kap 1 sebzést a forró pajzstól.",aegis;damage,missing,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,aegis=supported; damage=missing
Lángsörényű Oroszlán,Ignis,Hamvaskezű,"[DOMÍNIUM] Amíg egy Hamvaskezű Entitással azonos Áramlatban (előtte vagy mögötte) tartózkodik, mindketten kapnak +1 ATK-t.",atk_mod;flow_related,missing,,atk_mod=missing; flow_related=missing
Hamvaskezű Seregvezér,Ignis,Hamvaskezű,"[HORIZONT] Oltalom (Aegis). A mögötte lévő Zenit mezőn tartózkodó Entitások ""Harmonizálás"" képessége kétszeres szorzóval adódik hozzá a Seregvezér erejéhez.",aegis;harmonize,supported,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,aegis=supported; harmonize=supported
Élő Meteor,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Becsapódáskor az Élő Meteor azonnal elszenved 3 sebzést, és a saját Horizontodon lévő összes többi Entitás is kap 1 sebzést.",clarion;damage,missing,cards/resolver.py;engine/keyword_engine.py;engine/keyword_registry.py,clarion=partial; damage=missing
Pokoltűz Sárkány,Ignis,Hamvaskezű,[HORIZONT] Hasítás (Sundering). Métely (Bane).,bane;sundering,supported,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,bane=supported; sundering=supported
Hamu-Goblin Raj,Ignis,Hamvaskezű,"[HORIZONT] Gyorsaság (Celerity). Ha van egy másik Goblin Entitásod a Domíniumon, kap +1 ATK-t.",atk_mod;celerity,missing,engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,atk_mod=missing; celerity=supported
Parázs-Ork Martalóc,Ignis,Hamvaskezű,"[HORIZONT] Gyorsaság (Celerity). Valahányszor ez az Entitás támadást indít, a harc előtt azonnal elszenved 1 sebzést.",celerity;damage,missing,engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,celerity=supported; damage=missing
Füstkéses Nindzsa,Ignis,Hamvaskezű,"[HORIZONT] Ez az Entitás képes közvetlenül a Zenitben rejtőző ellenséges Entitásokat is megtámadni, kikerülve a Horizont védőit.",move_zenit,missing,,move_zenit=missing
Goblin Robbanómester,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Okoz 2 sebzést egy ellenséges Entitásnak, de a Robbanómester is elszenved 1 sebzést.",clarion;damage,missing,cards/resolver.py;engine/keyword_engine.py;engine/keyword_registry.py,clarion=partial; damage=missing
Perzselt-páncélos Ork,Ignis,Hamvaskezű,"[HORIZONT] Oltalom (Aegis). Ha a Zenitből Harmonizálás (Harmonize) bónuszt kap, a bónusz értéke 1-gyel nő.",aegis;harmonize,supported,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,aegis=supported; harmonize=supported
Lángszárnyú Hiéna,Ignis,Hamvaskezű,[HORIZONT] Légies (Ethereal). Gyorsaság (Celerity).,celerity;ethereal,supported,engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;tests/test_keywords.py,celerity=supported; ethereal=supported
Hamvaskezű Toborzó,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Idézz meg két 1/1-es Goblin / Harcos Tokent a Horizont üres mezőire. Ha nincs elég hely, az Ürességbe kerülnek.",clarion,partial,cards/resolver.py;engine/keyword_engine.py;engine/keyword_registry.py,clarion=partial
Törp Magmakalapácsos,Ignis,Hamvaskezű,[HORIZONT] Hasítás (Sundering). Ennek az Entitásnak az ATK-ja ellenséges varázslatok által nem csökkenthető 1 alá.,atk_mod;sundering,missing,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,atk_mod=missing; sundering=supported
Hamvaskezű Bestia-lovas,Ignis,Hamvaskezű,"[HORIZONT] Hasítás (Sundering). Amíg a pályán van, minden saját Bestia típusú Entitásod mentesül az idézési betegség alól.",sundering,supported,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,sundering=supported
Pokol-kutyák Ura,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Kényszerítés (Taunt). Válassz ki egy ellenséges Entitást; a következő körben kötelezően támadnia kell, ha képes rá.",clarion,partial,cards/resolver.py;engine/keyword_engine.py;engine/keyword_registry.py,clarion=partial
Ignatar a Hamvaskezű,Ignis,Hamvaskezű,[HORIZONT] Gyorsaság (Celerity). [DOMÍNIUM] Riadó (Clarion): Minden ellenséges Entitás azonnal elveszít 2 HP-t a perzselő hőtől.,celerity;clarion,partial,cards/resolver.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,celerity=supported; clarion=partial
Ork Csatakiáltás,Ignis,Hamvaskezű,Minden ellenséges Entitás a Horizonton megkapja a Kényszerítés (Taunt) hatást: a következő körükben kötelezően támadniuk kell.,move_horizont,missing,,move_horizont=missing
Pusztító Roham,Ignis,Hamvaskezű,Válassz egy Hamvaskezű Entitást a Horizonton. Kap +3 ATK-t az adott kör végéig.,atk_mod;move_horizont,missing,,atk_mod=missing; move_horizont=missing
Hamuvá Zúzás,Ignis,Hamvaskezű,"Semmisíts meg egy célpont ellenséges Entitást, amelynek a maximális HP-ja 3 vagy annál kevesebb.",hp_mod,missing,,hp_mod=missing
A Lángok Haragja,Ignis,Hamvaskezű,Egy saját Entitásod kap +2 ATK-t és a Hasítás (Sundering) kulcsszót a kör végéig.,atk_mod;sundering,missing,engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py,atk_mod=missing; sundering=supported
Vérforraló Üvöltés,Ignis,Hamvaskezű,A Domíniumodon lévő összes Entitás kap +1 ATK-t és a Gyorsaság (Celerity) kulcsszót az adott kör végéig.,atk_mod;celerity,missing,engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,atk_mod=missing; celerity=supported
Perzselő Csapás,Ignis,Hamvaskezű,Egy választott saját Entitásod kap +3 ATK-t a harc idejére. Reakció (Burst): Ingyen elsüthető.,atk_mod;burst,missing,cards/resolver.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py,atk_mod=missing; burst=partial
Hamuba Fojtás,Ignis,Hamvaskezű,Válassz egy Aktív ellenséges Entitást a Zenitben. Kényszerítsd Kimerült (elforgatott) állapotba!,exhaust;move_zenit,missing,,exhaust=missing; move_zenit=missing
