Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Kagylópáncélos Őrszem	Entitás	Aqua	Mélység Őrző	Sellő	Harcos	1	1	1	3	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező egyszerű védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Kagylópajzsos Védelmező	Entitás	Aqua	Mélység Őrző	Sellő	Lovag	2	1	0	4	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező tiszta védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Korall-Zarándok	Entitás	Aqua	Mélység Őrző	Sellő	Pap	2	2	1	4	[ZENIT] Rezonancia 2.	[ZENIT] resonance 2	zenit	resonance	static	self	blank	static_while_on_board	none	A Zenitben Rezonancia 2-vel rendelkező támogató entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Zafírszemű Dajka	Entitás	Aqua	Mélység Őrző	Elemi Lény	Pap	3	2	1	3	"[ZENIT] Harmonizálás (Harmonize). Amíg a Dajka támogat egy előtte álló ""Sellő"" Főfajú Entitást, az a harcokra +1 maximális HP-t (pajzsot) is kap az ATK bónusz mellé."	[ZENIT] harmonize; supported merfolk entity also gains +1 max HP for combats	zenit	harmonize	static	own_horizont_entity	hp_mod	during_combat	supported_entity_must_be_merfolk	A Dajka Harmonizálást ad, és ha egy előtte álló Sellőt támogat, az a harcokra +1 max HP-t is kap.	osszetett_egyedi	Harmonize mellé fajfüggő extra combat-pajzs társul.
Gyöngyvigyázó Papnő	Entitás	Aqua	Mélység Őrző	Sellő	Pap	3	3	2	4	[ZENIT] Minden alkalommal, amikor egy saját Entitásod a Horizonton sikeresen blokkol egy támadást és túléli a harcot, húzz egy lapot a paklidból.	when your Horizont entity successfully blocks and survives, draw 1 card	horizont, zenit	blank	on_block_survived	own_horizont_entity	draw	while_active	none	A sikeresen blokkoló és túlélő saját Horizont-entitás után 1 lapot húzol.	elso_koros_gepi_ertelmezes	Jól felismerhető blokk-utáni triggeres húzás.
Árapály-Mágus	Entitás	Aqua	Mélység Őrző	Sellő	Mágus	3	4	2	3	[ZENIT] Harmonizálás (Harmonize). Ha támogat egy előtte lévő Horizont-Entitást, az nemcsak az ATK-jának felét kapja meg, hanem +2 HP-t is a harc idejére!	[ZENIT] harmonize; supported entity also gains +2 HP during combat	zenit	harmonize	static	own_horizont_entity	hp_mod	during_combat	none	A támogatott előtte álló entitás Harmonizálás mellett +2 HP-t kap a harc idejére.	osszetett_egyedi	Harmonize mellé ideiglenes combat HP-bónusz társul.
Kraken-Idomár	Entitás	Aqua	Mélység Őrző	Ember	Vadász	4	4	3	4	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, válassz ki egy 3-as vagy annál kisebb Magnitúdójú ellenséges Entitást a Horizonton, és kényszerítsd, hogy azonnal Kimerült (elforgatott) állapotba kerüljön.	[DOMINIUM] clarion: exhaust target enemy Horizont entity with magnitude 3 or less	dominium, horizont	clarion	on_summon	enemy_horizont_entity	exhaust	instant	target_enemy_horizont_entity_with_magnitude_lte_3	Megidézéskor egy 3-as vagy kisebb Magnitúdójú ellenséges Horizont-entitást kimerít.	elso_koros_gepi_ertelmezes	Egyszerű Clarion + célzott exhaust.
Mélységi Gólem	Entitás	Aqua	Mélység Őrző	Gólem	Alap	4	2	2	6	[HORIZONT] Oltalom (Aegis). Ez az Entitás nem indíthat támadást a Betörés fázisban.	[HORIZONT] aegis; cannot attack	horizont	aegis	static	self	attack_restrict	static_while_on_board	none	Aegis-es védő entitás, amely nem indíthat támadást.	passziv_vagy_egyszeru	Egyszerű statikus támadási korlátozás natív keyword mellett.
Hullámtörő Gólem	Entitás	Aqua	Mélység Őrző	Gólem	Alap	4	5	2	6	[HORIZONT] Oltalom (Aegis). Bármely ellenséges Entitás, amely megtámadja őt, elveszíti a Gyorsaság és a Hasítás kulcsszavait a harc idejére.	[HORIZONT] aegis; attacking enemy loses celerity and sundering during combat	horizont	aegis	on_attack_declared	enemy_entity	ability_lock	during_combat	target_enemy_attacker_loses_celerity_and_sundering	Aki megtámadja, a harc idejére elveszíti a Gyorsaság és Hasítás kulcsszavait.	osszetett_egyedi	Harci triggerrel ideiglenes keyword-eltávolítás kell hozzá.
Abisszális Páncélos	Entitás	Aqua	Mélység Őrző	Sellő	Lovag	5	4	3	6	[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Riadó (Clarion): Amikor megidézed, adj +2 maximális HP-t egy tetszőleges, már a pályán lévő saját Entitásodnak a mérkőzés végéig.	[HORIZONT] aegis; [DOMINIUM] clarion: give +2 max HP to target allied entity until end of match	horizont, dominium	aegis, clarion	on_summon	own_entity	hp_mod	until_match_end	none	Aegisszel rendelkezik, és megidézéskor egy saját entitásnak +2 max HP-t ad a mérkőzés végéig.	elso_koros_gepi_ertelmezes	Natív keyword + egyszerű Clarion-buff.
Abisszális Ős-Teknős	Entitás	Aqua	Mélység Őrző	Bestia	Alap	5	3	1	8	[HORIZONT] Oltalom (Aegis). [ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel.	horizontal aegis; cannot be targeted by enemy spells when in Zenit	horizont, zenit	aegis	static	self	untargetable	static_while_on_board	none	Aegisszel rendelkezik, és Zenitben nem célozható ellenséges Rituálékkal vagy Igékkel.	osszetett_egyedi	Két zónához kötött statikus szabály ugyanazon lapon.
Leviátán Főpap	Entitás	Aqua	Mélység Őrző	Sellő	Pap	6	5	3	5	[ZENIT] Rezonancia 1. Amíg itt tartózkodik, az összes Oltalom (Aegis) kulcsszóval rendelkező Entitásod a Horizonton kap +1 ATK-t.	[ZENIT] resonance 1; your aegis Horizont entities gain +1 ATK	zenit, horizont	resonance	static	own_horizont_entities	atk_mod	static_while_on_board	affects_only_allied_horizont_entities_with_aegis	A Zenitből minden saját Aegis-es Horizont-entitásodnak +1 ATK-t ad.	osszetett_egyedi	Zónaszintű, keyword-szűrt folyamatos buff.
A Mariana-árok Rémje	Entitás	Aqua	Mélység Őrző	Bestia	Alap	6	6	4	8	[HORIZONT] Oltalom (Aegis). Ha az ellenfél ezt az Entitást támadja meg, az ellenséges támadó Entitás elszenved -2 ATK levonást a harc idejére a bénító víznyomás miatt.	[HORIZONT] aegis; attacking enemy gets -2 ATK during combat	horizont	aegis	on_attack_declared	enemy_entity	atk_mod	during_combat	none	Aki megtámadja ezt az entitást, a harc idejére -2 ATK-t kap.	elso_koros_gepi_ertelmezes	Egyszerű támadásra reagáló combat debuff.
