Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Szentjánosbogár-raj	Entitás	Lux	Fényhozó Lovagrend	Rovar	Alap	1	1	1	1	[DOMÍNIUM] Légies (Ethereal). Visszhang (Echo): Ha megsemmisül, válassz egy saját Entitást; az véglegesen kap +2 maximális HP-t.	[DOMINIUM] ethereal; echo: when this dies, target allied entity gains +2 max HP until end of match	dominium	ethereal, echo	on_death	own_entity	hp_mod	until_match_end	none	Légies entitás, amely megsemmisülésekor egy saját entitásnak +2 max HP-t ad a mérkőzés végéig.	osszetett_egyedi	Natív keyword + haláltriggeres permanens buff.
Fényhozó Apród	Entitás	Lux	Fényhozó Lovagrend	Ember	Harcos	1	1	1	2	[DOMÍNIUM] Riadó (Clarion): Megidézésekor adhatsz egy másik saját Entitásnak +1 maximális HP-t. [HORIZONT] Ha ez az Entitás egy hatás által maximális HP-t kap, kap +1 ATK-t és azonnal Aktív állapotba áll vissza egy korábbi Kimerülésből.	[DOMINIUM] clarion: another allied entity gains +1 max HP; [HORIZONT] when this gains max HP from an effect, it gains +1 ATK and becomes ready	horizont, dominium	clarion	on_summon, on_stat_gain	other_own_entity, self	hp_mod, atk_mod, ready	instant	trigger_only_if_self_gains_max_hp_from_effect	Megidézéskor egy másik saját entitás +1 max HP-t kaphat, és ha ez a lap hatásból max HP-t kap, +1 ATK-t kap és aktiválódik.	osszetett_egyedi	Clarion + statgain-triggeres önbuff és ready.
Hajnalpír Papnő	Entitás	Lux	Fényhozó Lovagrend	Ember	Pap	2	1	1	3	[ZENIT] Harmonizálás (Harmonize). A Manifesztáció fázisodban adhatsz +1 maximális HP-t az előtte, vele egy Áramlatban álló Entitásnak. [DOMÍNIUM] Minden alkalommal, amikor ennek az Entitásnak a maximális HP-ja megnő egy hatás által, húzz 1 lapot (körönként max 1x).	[ZENIT] harmonize; during your manifestation phase the allied entity in front gains +1 max HP; [DOMINIUM] when this gains max HP from an effect, draw 1 max once per turn	zenit, horizont, dominium	harmonize	on_influx_phase, on_stat_gain	own_horizont_entity, self	hp_mod, draw	instant	front_entity_in_same_lane; trigger_only_if_self_gains_max_hp_from_effect; usable_once_per_turn	Harmonizálást ad, Manifesztációkor az előtte álló entitás +1 max HP-t kaphat, és ha ez a lap hatásból max HP-t kap, lapot húzol körönként egyszer.	osszetett_egyedi	Harmonize + fázis-alapú buff + statgain-triggeres húzás.
Naphívó Zászlós	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	2	2	1	4	[ZENIT] Harmonizálás (Harmonize). Ha támogat egy előtte álló Lovagot, az +1 maximális HP-t is kap. [DOMÍNIUM] Minden alkalommal, amikor ennek az Entitásnak a maximális HP-ja megnő egy hatás által, húzz 1 lapot (körönként max 1x).	[ZENIT] harmonize; supported knight also gains +1 max HP; [DOMINIUM] when this gains max HP from an effect, draw 1 max once per turn	zenit, horizont, dominium	harmonize	on_stat_gain	own_horizont_entity, self	hp_mod, draw	static_while_on_board	supported_entity_must_be_knight; trigger_only_if_self_gains_max_hp_from_effect; usable_once_per_turn	Ha egy előtte álló Lovagot támogat, az +1 max HP-t is kap, és ha ez a lap hatásból max HP-t kap, körönként egyszer lapot húzol.	osszetett_egyedi	Harmonize mellé kasztfüggő HP-bónusz és statgain-triggeres húzás társul.
Pajzshordozó Templomos	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	3	2	2	4	[HORIZONT] Oltalom (Aegis). Ha sikeresen felfog egy támadást, az adott kör végéig az ellenfél mást nem támadhat a Horizonton. [DOMÍNIUM] Ha ennek az Entitásnak a maximális HP-ja megnő egy hatás által, húzz 1 lapot (körönként max 1x).	[HORIZONT] aegis; on successful block enemy cannot attack other Horizont entities this turn; [DOMINIUM] when this gains max HP from an effect, draw 1 max once per turn	horizont, dominium	aegis	on_block_survived, on_stat_gain	enemy_horizont_entities, self	attack_restrict, draw	until_turn_end	trigger_only_if_self_gains_max_hp_from_effect; usable_once_per_turn	Sikeres blokk után az ellenfél ebben a körben más Horizont-entitást nem támadhat, és ha ez a lap hatásból max HP-t kap, körönként egyszer lapot húzol.	osszetett_egyedi	Block-triggeres támadáskorlátozás és statgain-triggeres húzás.
Ezüstpáncélos Védelmező	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	3	2	2	5	[HORIZONT] Oltalom (Aegis). Ha a mögötte lévő Zenit mező foglalt, kap +1 ATK-t. [DOMÍNIUM] Ha ennek az Entitásnak a maximális HP-ja megnő egy hatás által, húzz 1 lapot (körönként max 1x).	[HORIZONT] aegis; if the Zenit slot behind is occupied, this gains +1 ATK; [DOMINIUM] when this gains max HP from an effect, draw 1 max once per turn	horizont, zenit, dominium	aegis	on_stat_gain	self	atk_mod, draw	static_while_on_board	requires_occupied_zenit_slot_behind; trigger_only_if_self_gains_max_hp_from_effect; usable_once_per_turn	Ha a mögötte lévő Zenit mező foglalt, +1 ATK-t kap, és ha ez a lap hatásból max HP-t kap, körönként egyszer lapot húzol.	osszetett_egyedi	Zenit-foglaltságfüggő statikus buff + statgain-triggeres húzás.
Fényhozó Lándzsás	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	3	3	4	3	[HORIZONT] Hasítás (Sundering).	[HORIZONT] sundering	horizont	sundering	static	self	blank	static_while_on_board	none	A Horizonton Hasítással rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Hajnalhasító Pegazus	Entitás	Lux	Fényhozó Lovagrend	Szárnyas Bestia	Alap	4	3	3	4	[HORIZONT] Gyorsaság (Celerity).	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	none	A Horizonton Gyorsasággal rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Napkitörés Griff	Entitás	Lux	Fényhozó Lovagrend	Szárnyas Bestia	Alap	4	3	4	3	[DOMÍNIUM] Gyorsaság (Celerity). Ez az Entitás képes célba venni és megtámadni a Zenitben rejtőző Entitásokat is.	[DOMINIUM] celerity; this can attack enemy Zenit entities	dominium, zenit	celerity	static	enemy_zenit_entity	attack_restrict	static_while_on_board	none	Gyorsasággal rendelkezik, és a Zenitben lévő ellenséges entitásokat is megtámadhatja.	osszetett_egyedi	Különleges támadási célzási kivétel natív keyword mellett.
Templomi Kántáló	Entitás	Lux	Fényhozó Lovagrend	Ember	Pap	4	4	2	5	[ZENIT] Rezonancia 2. [DOMÍNIUM] Riadó (Clarion): Adhatsz +2 maximális HP-t egy saját Entitásnak.	[ZENIT] resonance 2; [DOMINIUM] clarion: target allied entity gains +2 max HP	zenit, dominium	resonance, clarion	on_summon	own_entity	hp_mod	instant	none	Rezonancia 2-vel rendelkezik, és megidézéskor egy saját entitás +2 max HP-t kaphat.	elso_koros_gepi_ertelmezes	Egyszerű Rezonancia + Clarion HP-buff.
